category,strategy,owner,priority,execution_status,wave,effort,expected_sharpe_uplift,sharpe,cagr,max_drawdown,crisis_non_negative_count,improvement_ideas
Cat N: Seasonal,N1-SeasonalStrategy,systematic,optimize_winner,implemented,done,low_medium,>=0.05,0.79,0.1229,-0.2851,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat J: Mean Reversion,J3-RSIMeanReversion,systematic,watch_and_rework,implemented_kill,done,medium,>=0.10,0.31,0.0318,-0.3383,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat I: Momentum,I2-CrossSectionalMomentum,systematic,watch_and_rework,implemented,done,medium,>=0.10,0.46,0.0689,-0.3416,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states.
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,macro,watch_and_rework,implemented,done,medium,>=0.10,0.5,0.0544,-0.2446,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M4-CommodityMomentum,macro,watch_and_rework,implemented,done,medium,>=0.10,0.56,0.0863,-0.3667,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat J: Mean Reversion,J1-SectorMeanReversion,systematic,watch_and_rework,implemented,done,medium,>=0.10,0.57,0.0805,-0.3386,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M1-DollarCarry,macro,watch_and_rework,implemented,done,medium,>=0.10,0.7,0.1027,-0.307,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat P: ML Signal Combo,P1-FeatureComboSignal,vol,watch_and_rework,implemented,done,medium,>=0.10,0.83,0.1531,-0.355,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat K: Factor,K1-LowVolFactor,systematic,watch_and_rework,implemented,done,medium,>=0.10,0.84,0.16,-0.2781,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L1-VolRiskPremium,vol,watch_and_rework,implemented,done,medium,>=0.10,0.92,0.1734,-0.3306,3,Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat O: Tail Risk,O8-VolatilityConvexity,crisis,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.0,0.0,0.0,6,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K6-QualityMomentumComposite,systematic,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.02,-0.0029,-0.2453,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R10-CommodityMacroOverlay,macro,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.09,0.0024,-0.1549,6,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat DL: Deep Learning,DL3-AttentionRanker,vol,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.16,0.0119,-0.3801,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M7-GlobalRotation,macro,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.18,0.0141,-0.3783,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat O: Tail Risk,O6-TailHedgeOverlay,crisis,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.18,0.0056,-0.1555,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat B: Oil Crisis,B2-OilShockHedge,crisis,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.22,0.0218,-0.4335,5,
Cat H: Crisis Spike (Upward),H2-GoldFearRally,peter,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.24,0.0161,-0.2395,3,
Cat J: Mean Reversion,J5-GlobalMeanReversion,systematic,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.24,0.0232,-0.302,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,peter,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.26,0.0225,-0.2832,2,
Cat M: Macro,M11-AdaptiveMacroBlend,macro,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.27,0.0255,-0.3146,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat O: Tail Risk,O4-BlackSwanInsurance,crisis,high_priority_rework,researched_only,wave_1_high_urgency,medium_high,>=0.15,0.28,0.0168,-0.1918,4,Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat I: Momentum,I10-AdaptiveTrendFilter,systematic,kill_or_full_rework,researched_only,wave_1_kill_or_rebuild,medium_high,>=0.25_or_kill,-0.14,-0.0146,-0.3121,0,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat I: Momentum,I7-DriftRegimeMomentum,systematic,kill_or_full_rework,researched_only,wave_1_kill_or_rebuild,medium_high,>=0.25_or_kill,-0.06,-0.0038,-0.1548,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat O: Tail Risk,O9-ATRCrisisAlpha,crisis,kill_or_full_rework,researched_only,wave_1_kill_or_rebuild,medium_high,>=0.25_or_kill,-0.03,-0.0041,-0.2499,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat B: Oil Crisis,B4-EnergyPairs,crisis,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.31,0.0351,-0.2855,4,
Cat I: Momentum,I8-TimeSeriesMomDrift,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.31,0.028,-0.3095,4,
Cat I: Momentum,I5-GlobalMomentumRotation,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.37,0.0492,-0.3996,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat J: Mean Reversion,J4-CointegrationPairs,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.37,0.0166,-0.1629,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat I: Momentum,I1-TimeSeriesMomentum,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.39,0.0506,-0.3268,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat N: Seasonal,N2-TurnOfMonth,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.4,0.0478,-0.3223,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat P: ML Signal Combo,G6-MultiSignalConsensus,vol,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.41,0.0515,-0.3373,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat DL: Deep Learning,DL1-TemporalCNNAlpha,vol,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.41,0.0547,-0.402,6,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M8-CommodityMacroSignal,macro,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.42,0.0426,-0.3401,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K5-RealAssetsFactor,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.44,0.05,-0.364,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat B: Oil Crisis,B3-OilMeanReversion,crisis,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.45,0.049,-0.3107,4,
Cat C: War/Geopolitical,C3-PostWarRecovery,crisis,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.47,0.0672,-0.3852,2,
Cat P: ML Signal Combo,P5-CrossSectionalRanker,vol,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.49,0.0673,-0.3689,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat C: War/Geopolitical,C1-DefenseRotation,crisis,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.51,0.0669,-0.3778,3,
Cat P: ML Signal Combo,P2-XGBoostSignalCombo,vol,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.51,0.0777,-0.3082,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat J: Mean Reversion,J2-OvernightGapFade,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.52,0.0626,-0.3479,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L9-VIXAdaptiveCarry,vol,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.52,0.0587,-0.2956,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat MF: Multi-Frequency,MF4-WeeklyMeanReversion,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.52,0.0712,-0.3432,4,Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,crisis,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.53,0.0711,-0.2899,4,
Cat I: Momentum,I3-DualMomentum,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.54,0.0783,-0.322,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat J: Mean Reversion,J6-DriftReversalAlpha,systematic,watch_and_rework,researched_only,wave_3_watch_low_sharpe,medium,>=0.10,0.54,0.0259,-0.1006,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.55,0.0692,-0.3137,5,
Cat M: Macro,M5-RatesRegimeTrade,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.55,0.0734,-0.395,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K3-SizeFactor,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.56,0.0879,-0.365,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Refresh pair universe with stability and half-life constraints. | Use stop-loss and spread-regime controls for divergence risk.
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.58,0.0703,-0.3141,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M1b-DollarCarryScoreboard,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.59,0.0792,-0.2808,4,
Cat I: Momentum,I4-MomentumVolScaled,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.6,0.0946,-0.2826,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R8-VolRegimeSwitcher,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.6,0.0836,-0.3658,3,Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat R: Regime Hardening,R5-RatesTighteningAlpha,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.62,0.0885,-0.3041,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Use multi-signal scoreboards rather than single-threshold toggles. | Add explicit risk-off fallback assets with confidence weighting.
Cat D: Crash-Hedge (General),D1-FourStateTactical,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.63,0.1026,-0.323,2,
Cat DL: Deep Learning,DL2-LSTMRegimeDetector,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.66,0.109,-0.3555,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat N: Seasonal,N3-PreHolidayDrift,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.68,0.0717,-0.2737,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat L: Volatility,L8-VolRegimeClustering,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.7,0.1139,-0.3304,3,Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat MF: Multi-Frequency,MF1-WeeklyMomentumRotation,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.7,0.1247,-0.2748,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R1-BearMarketAlpha,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.7,0.1068,-0.335,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat MF: Multi-Frequency,MF3-MultiTimeframeTrend,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.71,0.108,-0.3117,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.72,0.1149,-0.2495,3,
Cat Q: Quality Trend,Q2-MultiAssetTrend,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.74,0.1232,-0.3552,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat P: ML Signal Combo,P4-AdaptiveThreshold,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.75,0.1341,-0.3203,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.76,0.1163,-0.2943,2,
Cat K: Factor,K2-MultiFactorComposite,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.77,0.131,-0.2976,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.78,0.1349,-0.3152,3,
Cat K: Factor,K4-ValueFactor,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.81,0.1458,-0.2536,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat Q: Quality Trend,Q3-MomentumCrashFilter,systematic,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.83,0.1434,-0.3285,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat L: Volatility,L10-DynamicVolRegimeSwitch,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.84,0.15,-0.3501,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat L: Volatility,L2-VolSpreadHarvest,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.85,0.1282,-0.3564,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R3-DefensiveRotation,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.86,0.1452,-0.3156,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states.
Cat D: Crash-Hedge (General),D3-VolCarry,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.89,0.1603,-0.3177,3,
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.89,0.1407,-0.3259,3,
Benchmark,BuyHold-SPY,peter,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.9,0.1641,-0.3299,0,
Cat L: Volatility,L4-VolOfVolRegime,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.92,0.1786,-0.3126,3,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L11-VolRiskPremiumAdaptive,vol,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.92,0.1738,-0.3316,3,
Cat O: Tail Risk,O7-PreciousMetalsCrisisHedge,crisis,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,0.92,0.1417,-0.3042,3,Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat R: Regime Hardening,R9-MultiAssetCTATrend,macro,watch_and_rework,researched_only,wave_4_watch_optimize,medium,>=0.10,1.13,0.2089,-0.2866,2,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat F: Crypto Crisis,F4-CryptoContagionHedge,crisis,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.6,0.0599,-0.2149,4,
Cat M: Macro,M9-YieldCurveRegime,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.65,0.1027,-0.3503,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M2-GoldDollarInverse,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.68,0.112,-0.3383,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Use multi-signal scoreboards rather than single-threshold toggles. | Add explicit risk-off fallback assets with confidence weighting.
