category,strategy,priority,sharpe,cagr,max_drawdown,crisis_non_negative_count,source_file,how_it_works,drivers_ranked,indicators,signal_families,pair_universe,research_refs,improvement_ideas
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,high_priority_rework,0.15,0.0096,-0.3196,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat M: Macro,M3-EMRiskPremium,high_priority_rework,0.16,0.0116,-0.2989,4,src/financial_algo/strategies/macro.py,"Uses trend, carry, volatility, pairs_statarb, macro_regime with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | vol_driver:1.0,sma | momentum | regime,trend | carry | volatility | pairs_statarb | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat DL: Deep Learning,DL3-AttentionRanker,high_priority_rework,0.16,0.0119,-0.3801,5,src/financial_algo/strategies/dl_strategies.py,"Uses trend, mean_reversion, volatility, ml with sma, rsi, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | vol_driver:1.5 | ml_driver:1.0 | macro_driver:0.4,sma | rsi | zscore | volatility | momentum | regime,trend | mean_reversion | volatility | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M7-GlobalRotation,high_priority_rework,0.18,0.0141,-0.3783,3,src/financial_algo/strategies/macro.py,"Uses trend, mean_reversion, carry, volatility, macro_regime with sma, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | ml_driver:0.1,sma | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat O: Tail Risk,O6-TailHedgeOverlay,high_priority_rework,0.18,0.0056,-0.1555,5,src/financial_algo/strategies/tail_risk.py,"Uses trend, carry, volatility, macro_regime with sma, volatility, regime. Primary tradable universe proxy: broad ETF universe.",macro_driver:1.6 | vol_driver:1.5 | trend_driver:1.2 | carry_driver:1.0,sma | volatility | regime,trend | carry | volatility | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,high_priority_rework,0.2,0.0167,-0.3969,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat B: Oil Crisis,B2-OilShockHedge,high_priority_rework,0.22,0.0218,-0.4335,5,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat H: Crisis Spike (Upward),H2-GoldFearRally,high_priority_rework,0.24,0.0161,-0.2395,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat J: Mean Reversion,J5-GlobalMeanReversion,high_priority_rework,0.24,0.0232,-0.302,2,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion, carry with sma, rsi, zscore, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | zscore | regime,trend | mean_reversion | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat B: Oil Crisis,B1-OilMomentumSurge,high_priority_rework,0.25,0.0269,-0.3338,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,high_priority_rework,0.26,0.0225,-0.2832,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,trend_driver:0.2 | macro_driver:0.2,,,,,
Cat P: ML Signal Combo,P3-GMMRegimeClassifier,high_priority_rework,0.26,0.0287,-0.3817,3,src/financial_algo/strategies/signal_combo.py,"Uses mean_reversion, volatility, pairs_statarb, macro_regime, ml with zscore, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | vol_driver:1.5 | macro_driver:1.4 | ml_driver:1.1,zscore | volatility | regime,mean_reversion | volatility | pairs_statarb | macro_regime | ml,,"Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat M: Macro,M11-AdaptiveMacroBlend,high_priority_rework,0.27,0.0255,-0.3146,4,src/financial_algo/strategies/macro.py,"Uses trend, carry, volatility, pairs_statarb, macro_regime, ml with sma, ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | vol_driver:1.0 | ml_driver:1.0,sma | ema | momentum | regime,trend | carry | volatility | pairs_statarb | macro_regime | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat O: Tail Risk,O4-BlackSwanInsurance,high_priority_rework,0.28,0.0168,-0.1918,4,src/financial_algo/strategies/tail_risk.py,"Uses volatility with volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | macro_driver:0.6 | trend_driver:0.2,volatility | regime,volatility,,"Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat B: Oil Crisis,B4-EnergyPairs,watch_and_rework,0.31,0.0351,-0.2855,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat I: Momentum,I8-TimeSeriesMomDrift,watch_and_rework,0.31,0.028,-0.3095,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat J: Mean Reversion,J3-RSIMeanReversion,watch_and_rework,0.31,0.0318,-0.3383,4,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | ema | rsi | volatility | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat I: Momentum,I5-GlobalMomentumRotation,watch_and_rework,0.37,0.0492,-0.3996,3,src/financial_algo/strategies/momentum.py,"Uses trend, mean_reversion, carry, volatility, macro_regime with sma, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | ml_driver:0.1,sma | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat J: Mean Reversion,J4-CointegrationPairs,watch_and_rework,0.37,0.0166,-0.1629,2,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion, carry, pairs_statarb with sma, rsi, zscore, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | zscore | regime,trend | mean_reversion | carry | pairs_statarb,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat I: Momentum,I1-TimeSeriesMomentum,watch_and_rework,0.39,0.0506,-0.3268,4,src/financial_algo/strategies/momentum.py,"Uses trend, mean_reversion, carry, volatility with sma, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat N: Seasonal,N2-TurnOfMonth,watch_and_rework,0.4,0.0478,-0.3223,3,src/financial_algo/strategies/seasonal.py,"Uses trend, carry with sma, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat P: ML Signal Combo,G6-MultiSignalConsensus,watch_and_rework,0.41,0.0515,-0.3373,2,src/financial_algo/strategies/signal_combo.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | ema | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat DL: Deep Learning,DL1-TemporalCNNAlpha,watch_and_rework,0.41,0.0547,-0.402,6,src/financial_algo/strategies/dl_strategies.py,"Uses trend, mean_reversion, carry, volatility, ml with sma, rsi, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | ml_driver:1.1 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | zscore | volatility | momentum | regime,trend | mean_reversion | carry | volatility | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M8-CommodityMacroSignal,watch_and_rework,0.42,0.0426,-0.3401,3,src/financial_algo/strategies/macro.py,"Uses trend, carry, macro_regime with sma, ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | reversion_driver:0.2 | ml_driver:0.1,sma | ema | momentum | regime,trend | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K5-RealAssetsFactor,watch_and_rework,0.44,0.05,-0.364,2,src/financial_algo/strategies/factor.py,"Uses trend, carry, macro_regime with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0,sma | momentum | regime,trend | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat B: Oil Crisis,B3-OilMeanReversion,watch_and_rework,0.45,0.049,-0.3107,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat I: Momentum,I2-CrossSectionalMomentum,watch_and_rework,0.46,0.0689,-0.3416,2,src/financial_algo/strategies/momentum.py,"Uses trend with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | momentum | regime,trend,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states.
Cat C: War/Geopolitical,C3-PostWarRecovery,watch_and_rework,0.47,0.0672,-0.3852,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat P: ML Signal Combo,P5-CrossSectionalRanker,watch_and_rework,0.49,0.0673,-0.3689,3,src/financial_algo/strategies/ml_strategies.py,"Uses trend, mean_reversion, volatility, ml with sma, rsi, zscore, atr, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | ml_driver:1.1 | macro_driver:0.4,sma | rsi | zscore | atr | volatility | momentum | regime,trend | mean_reversion | volatility | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,watch_and_rework,0.5,0.0544,-0.2446,4,src/financial_algo/strategies/fixed_income.py,"Uses trend, mean_reversion, carry, pairs_statarb, macro_regime with sma, rsi, zscore, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | macro_driver:1.4 | trend_driver:1.0 | carry_driver:1.0,sma | rsi | zscore | regime,trend | mean_reversion | carry | pairs_statarb | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat C: War/Geopolitical,C1-DefenseRotation,watch_and_rework,0.51,0.0669,-0.3778,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat P: ML Signal Combo,P2-XGBoostSignalCombo,watch_and_rework,0.51,0.0777,-0.3082,3,src/financial_algo/strategies/signal_combo.py,"Uses trend, mean_reversion, carry, volatility, pairs_statarb, macro_regime, ml with sma, rsi, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | vol_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | ml_driver:1.0,sma | rsi | zscore | volatility | momentum | regime,trend | mean_reversion | carry | volatility | pairs_statarb | macro_regime | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat J: Mean Reversion,J2-OvernightGapFade,watch_and_rework,0.52,0.0626,-0.3479,5,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | ema | rsi | volatility | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
